CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hx320313,06/26/2014 11:06:00 PM,residential_yard__front_back_,False,1012,10.0,24.0,29.0,41.852574167,-87.72561378
hx315796,06/27/2014 09:42:00 PM,auto,False,725,7.0,17.0,67.0,41.768534413,-87.665505285
hx321764,06/27/2014 11:16:00 PM,street,False,823,8.0,15.0,66.0,41.783548308,-87.698392698
hx322022,06/28/2014 03:05:00 AM,street,False,522,5.0,34.0,53.0,41.67727974,-87.628643544
hx322075,06/28/2014 04:29:00 AM,sidewalk,False,1013,10.0,22.0,30.0,41.846732207,-87.726241621
hx323230,06/29/2014 12:48:00 AM,sidewalk,False,1233,12.0,25.0,31.0,41.857231736,-87.65885319
hx324349,06/29/2014 08:48:00 PM,sidewalk,False,1533,15.0,28.0,25.0,41.881806031,-87.746198598
hx324632,06/30/2014 12:38:00 AM,street,False,411,4.0,5.0,43.0,41.752607121,-87.587118865
hx325591,06/30/2014 03:10:00 PM,vehicle_non_commercial,False,2234,22.0,34.0,75.0,41.687287934,-87.653173552
hx327607,07/02/2014 12:30:00 AM,sidewalk,False,925,9.0,11.0,61.0,41.815635061,-87.643295571
hx327719,07/02/2014 06:26:00 AM,street,False,1121,11.0,26.0,23.0,41.902799847,-87.709823354
hx331572,07/04/2014 10:53:00 PM,street,False,524,5.0,34.0,53.0,41.68042949,-87.640253907
hx332945,07/05/2014 11:20:00 PM,sidewalk,False,1532,15.0,28.0,25.0,41.883762115,-87.746625038
hx333887,07/06/2014 06:11:00 PM,street,False,1523,15.0,28.0,25.0,41.887282776,-87.756879522
hx334293,07/07/2014 08:27:00 PM,street,False,422,4.0,7.0,46.0,41.748298358,-87.551190118
hx336475,07/08/2014 01:20:00 PM,street,False,632,6.0,8.0,44.0,41.744026318,-87.600864156
hx337204,07/08/2014 10:11:00 PM,street,False,1112,11.0,27.0,23.0,41.897694011,-87.721266986
hx338489,07/09/2014 08:19:00 PM,sidewalk,False,2515,25.0,30.0,19.0,41.925815662,-87.765348424
hx338640,07/09/2014 10:21:00 PM,vehicle_non_commercial,False,726,7.0,15.0,67.0,41.774809048,-87.67378419
hx339887,07/10/2014 08:59:00 PM,sidewalk,False,523,5.0,9.0,53.0,41.660275352,-87.635317382
hx341165,07/11/2014 06:04:00 PM,other,False,532,5.0,9.0,53.0,41.684476135,-87.616780457
hx341290,07/11/2014 08:13:00 PM,porch,False,1522,15.0,29.0,25.0,41.877557254,-87.755806595
hx341618,07/12/2014 01:48:00 AM,street,True,825,8.0,15.0,66.0,41.780461082,-87.688556867
